type,id,locator,portuguese_source,english_applied,reviewed_english,brand,keywords,search_text,notes
food,f61d5816-1da6-5489-83fc-c53471a39e99,,Castanha do Brasil,Castanha Brasil,Brazil Nut,,"[""castanha"",""chestnut"",""brasil""]",castanha brasil castanha brasil chestnut,
food,8bebba8f-b353-5caf-8401-eb61e6fc3e6a,,Castanha pilada,Castanha Pilada,"Chestnut, Shelled",,"[""castanha"",""chestnut"",""pilada""]",castanha pilada castanha pilada chestnut,
food,d21caba2-6d6d-50ce-adae-e5332aaa6943,,"Castanha, miolo","Chestnut, Kernel",,,"[""castanha"",""chestnut"",""miolo"",""kernel""]",chestnut kernel chestnut kernel castanha,
food,679e9308-50bf-580f-ba64-0e3be1e777b6,,Castanhas assadas,Roasted Chestnuts,,,"[""fruta"",""fruit"",""assadas"",""baked"",""castanhas"",""chestnuts"",""castanha"",""assada"",""roasted""]",roasted chestnuts roasted chestnuts castanhas castanha,
food,a4e8b26b-d2e5-51c1-89db-1f450f6b417c,,Cavala cozida,Mackerel Cooked,"Mackerel, Cooked",,"[""cavala"",""cozida"",""cooked"",""boiled"",""mackerel""]",mackerel cooked mackerel cooked cavala,
food,0d4207d2-21a5-5894-aa37-953607ea40ca,,Cavala crua,Mackerel Raw,"Mackerel, Raw",,"[""cavala"",""crua"",""raw"",""mackerel""]",mackerel raw mackerel raw cavala,
food,0c54e3e7-abc1-5a74-91a7-3b3184d66516,,"Cavala em filetes, conserva em azeite",Mackerel Filetes Canned Olive Oil,,,"[""cavala"",""filetes"",""filete"",""conserva"",""canned"",""azeite"",""olive"",""oil"",""mackerel""]",mackerel filetes canned olive oil mackerel filetes canned olive oil cavala filete,
food,c79e3565-d5cb-5a24-b4d7-fe39361726a8,,Cavala grelhada,Mackerel Grilled,"Mackerel, Grilled",,"[""cavala"",""grelhada"",""grilled"",""mackerel""]",mackerel grilled mackerel grilled cavala,
food,2e363aaf-a72b-53e4-b7aa-3f7d2fc8d094,,Cavala no forno,Baked Mackerel,,,"[""cavala"",""forno"",""baked"",""mackerel""]",baked mackerel baked mackerel cavala forno,
food,7f058f92-036b-5846-aaac-4c79e07c898a,,Cação cru,Cacao Raw,"Dogfish, Raw",,"[""cação"",""cacao"",""cru"",""raw""]",cacao raw cacao raw,
food,354445a2-8ec3-5463-9424-7f51fd9801c5,,Cação frito,Cacao Fried,"Dogfish, Fried",,"[""cação"",""cacao"",""frito"",""fried""]",cacao fried cacao fried,
food,86c97ac1-a055-5252-9609-8b5f0a29def3,,Cebola,Onion,,,"[""cebola"",""onion""]",onion onion,
food,5818fc33-73e1-50c9-abcf-681d47eb63a6,,Cebola cozida,Onion Cooked,"Onion, Cooked",,"[""cebola"",""onion"",""cozida"",""cooked"",""boiled""]",onion cooked onion cooked,
food,a0be0c91-667c-5949-a175-af27d3f7b889,,Cebola crua,Onion Raw,"Onion, Raw",,"[""cebola"",""cebolas"",""onion"",""onions"",""raw"",""crua"",""legume"",""vegetable""]",onion raw onion raw cebolas onions,
food,cb6dbb81-0206-5600-8798-9fe6a6185c5d,,"Cebola doce, crua",Raw Sweet Onion,,,"[""cebola"",""cebolas"",""doce"",""doces"",""sweet"",""onion"",""onions"",""raw"",""crua"",""legume"",""vegetable""]",raw sweet onion raw sweet onion cebolas doces onions,
food,da6c2ade-faa6-5bd1-a02a-e5a3c54a3b85,,Cebola frita com óleo alimentar,Onion Fried Cooking Oil,,,"[""cebola"",""onion"",""frita"",""fried"",""óleo"",""oleo"",""oil"",""alimentar"",""cooking""]",onion fried cooking oil onion fried cooking oil frita oleo alimentar,
food,80142fcf-c855-5b3e-bc49-62723b2df3f6,,"Cebola roxa, crua",Onion Red Raw,"Onion Red, Raw",,"[""cebola"",""cebolas"",""roxa"",""roxas"",""red"",""purple"",""onion"",""onions"",""raw"",""crua"",""legume"",""vegetable""]",onion red raw onion red raw cebolas roxas onions,
food,1151a82f-dbfd-5ddf-bb41-0a46d8aef79d,,Cebolinha,Cebolinha,Spring Onion,,"[""cebolinha"",""spring"",""onion""]",cebolinha cebolinha spring onion,
food,d8a37019-0859-5e2b-8e2d-ae585f173af2,,Cebolinho,Cebolinho,Chive,,"[""cebolinho"",""chives""]",cebolinho cebolinho chives,
food,d6a23fed-bc17-5755-a89f-67712b655ecf,,Cebolinho fresco,Cebolinho Fresh,"Chive, Fresh",,"[""cebolinho"",""fresco"",""fresh""]",cebolinho fresh cebolinho fresh,
food,7dfe893e-453e-5c95-b886-15d67c343579,,Cenoura,Carrot,,,"[""cenouras"",""carrots"",""cenoura"",""carrot""]",carrot carrot carrots,
food,8f7a6ce7-b65b-5cc4-9cfb-32676d9e91e1,,Cenoura baby crua,Carrot Baby Raw,"Carrot Baby, Raw",,"[""cenoura"",""cenouras"",""baby"",""mini"",""carrot"",""carrots"",""raw"",""crua"",""legume"",""vegetable""]",carrot baby raw carrot baby raw mini carrots,
food,fc68e2ed-b0ac-52fa-a399-8a48d7543fe7,,Cenoura cozida,Carrot Cooked,"Carrot, Cooked",,"[""cenoura"",""carrot"",""cozida"",""cooked"",""boiled""]",carrot cooked carrot cooked,
food,cacab50e-b9a8-518f-8a03-91dee2292b85,,Cenoura crua,Carrot Raw,"Carrot, Raw",,"[""cenoura"",""cenouras"",""carrot"",""carrots"",""raw"",""crua"",""legume"",""vegetable""]",carrot raw carrot raw carrots,
food,84be6db0-2352-5ffc-ac27-7d1f3f58f006,,Cereal de pequeno almoço de trigo integral,Wholegrain Wheat Breakfast Cereal,,Weetabix,"[""cereal"",""pequeno"",""almoço"",""almoco"",""trigo"",""wheat"",""integral"",""wholegrain"",""wholemeal"",""weetabix"",""breakfast""]",wholegrain wheat breakfast cereal weetabix wholegrain wheat breakfast cereal weetabix pequeno almoco wholemeal,
food,04eaed85-7ca2-5f1c-9044-8cde536d3232,,Cereal de pequeno almoço à base de farelo de trigo,Wheat Bran Breakfast Cereal,,All-Bran,"[""cereal"",""pequeno"",""almoço"",""almoco"",""farelo"",""trigo"",""wheat"",""all"",""bran"",""breakfast""]",wheat bran breakfast cereal all bran wheat bran breakfast cereal all pequeno almoco farelo,
food,20260258-920a-52a2-830a-cc684ff499f5,,Cerefólio fresco,Cerefolio Fresh,"Cerefolio, Fresh",,"[""cerefólio"",""cerefolio"",""fresco"",""fresh""]",cerefolio fresh cerefolio fresh,
food,91a99c29-2613-5c90-8cd9-13c2220a5523,,Cereja (4 variedades),Cherry (4 Varieties),,,"[""cereja"",""cerejas"",""cherry"",""cherries"",""fruta"",""fruit"",""varieties""]",cherry 4 varieties cherry varieties cerejas cherries,
food,8337d71d-21c9-588f-8edb-ca4ce0f8407f,,Cereja desidratada,Dehydrated Cherry,,,"[""cereja"",""cherry"",""desidratada"",""dehydrated"",""dried""]",dehydrated cherry dehydrated cherry,
food,cfd61b60-2be3-53e1-be44-8d9d327b36ca,,"Cereja, conserva em calda de açúcar",Canned in Sugar Syrup (Cherry),,,"[""cereja"",""cherry"",""conserva"",""canned"",""calda"",""açúcar"",""acucar"",""sugar"",""in"",""syrup""]",canned in sugar syrup cherry canned in sugar syrup cherry,
food,f86c0401-0fd8-5acf-81c9-68a4a3c9a0f7,,"Cereja, cristalizada","Cherry, Candied",,,"[""cereja"",""cherry"",""cristalizada"",""candied""]",cherry candied cherry candied cristalizada,
food,685715c5-3d51-5976-913e-797bb362b2a9,,Cerejas,Cerejas,Cherry,,"[""fruta"",""fruit"",""cerejas"",""cherry"",""cherries"",""cereja""]",cerejas cerejas cherry cherries,
food,524cc3e5-b99f-5389-a6ef-8db54e4acbce,,Cerveja branca,Cerveja White,,,"[""cerveja"",""beer"",""branca"",""white""]",cerveja white cerveja white beer,
food,de8583f8-14a5-5715-9779-a70101d962cd,,Cerveja preta,Cerveja Black,,,"[""cerveja"",""beer"",""preta"",""black""]",cerveja black cerveja black beer,
food,dc8d076b-2799-50aa-9ed9-405250641fd8,,Cerveja sem álcool,Non-alcoholic Beer,,,"[""cerveja"",""beer"",""álcool"",""alcool"",""non"",""alcoholic""]",non alcoholic beer non alcoholic beer cerveja alcool,
food,13b415ff-22d6-50d3-8651-201fe245d6a0,,Chalota,Chalota,Shallot,,"[""cebolas"",""shallota"",""onions"",""chalota""]",chalota chalota cebolas shallota onions,
food,2f0d604f-d670-5fb7-afe6-008880db2a88,,Chambão de vitela cru,Chambao Veal Raw,"Shin Veal, Raw",,"[""chambão"",""chambao"",""vitela"",""veal"",""cru"",""raw""]",chambao veal raw chambao veal raw vitela,
food,72cb6bf5-322e-5f5e-86a3-2d3968dae290,,Chamuça,Chamuca,Samosa,,"[""chamuça"",""chamuca""]",chamuca chamuca,
food,fd3ef771-b780-5a94-8d34-33ecd2dbd8b2,,Cherne cozido,Cherne Cooked,"Wreckfish, Cooked",,"[""cherne"",""cozido"",""cooked"",""boiled""]",cherne cooked cherne cooked,
food,6fc61284-2bd7-5a5a-9071-b9f25046cce6,,Cherne cru,Cherne Raw,"Wreckfish, Raw",,"[""cherne"",""cru"",""raw""]",cherne raw cherne raw,
food,b6f2b4ec-e179-5f5f-ac94-22c4e726fc35,,Cherne grelhado,Cherne Grilled,"Wreckfish, Grilled",,"[""cherne"",""grelhado"",""grilled""]",cherne grilled cherne grilled,
food,47273316-a848-58c3-8280-52443b3c4dee,,Chicharro cozido,Chicharro Cooked,"Horse Mackerel, Cooked",,"[""chicharro"",""cozido"",""cooked"",""boiled""]",chicharro cooked chicharro cooked,
food,02437479-efc6-535a-8d54-1cddd15c3f72,,Chicharro cru,Chicharro Raw,"Horse Mackerel, Raw",,"[""chicharro"",""cru"",""raw""]",chicharro raw chicharro raw,
food,119ad1e3-a285-5851-aab6-384fcea8cc65,,Chicharro grelhado,Chicharro Grilled,"Horse Mackerel, Grilled",,"[""chicharro"",""grelhado"",""grilled""]",chicharro grilled chicharro grilled,
food,391fa3a6-5929-5f13-94f7-7b415ed1f79a,,Chicória crua,Chicoria Raw,"Chicory, Raw",,"[""chicória"",""chicoria"",""crua"",""raw""]",chicoria raw chicoria raw,
food,f20a62e2-6a98-51cc-9626-d91bf2977f19,,Chispe de porco,Chispe Pork,Trotters Pork,,"[""chispe"",""porco"",""pork""]",chispe pork chispe pork,
food,f3328954-dd8e-525f-b3c8-bd634bcbe61b,,Chocapic,Chocapic,,,"[""chocapic"",""cereais"",""cereals"",""chocolate""]",chocapic chocapic,
food,fa115f71-d28e-5e45-8eec-97bbc2755893,,Choco cru,Choco Raw,"Cuttlefish, Raw",,"[""choco"",""cru"",""raw""]",choco raw choco raw,
food,a9a309a5-e8de-5c64-955c-abe16ad60995,,Choco grelhado,Choco Grilled,"Cuttlefish, Grilled",,"[""choco"",""grelhado"",""grilled""]",choco grilled choco grilled,
food,38428620-6ed3-5472-a32a-4c590d67b3f2,,Chocolate de leite,Milk Chocolate,,,"[""chocolate"",""leite"",""milk""]",milk chocolate milk chocolate,
food,f60393b7-eb9b-5b75-8567-b4dd1628ff68,,"Chocolate em barra, culinária",Barra Culinaria,Barra Culinary,,"[""chocolate"",""barra"",""culinária"",""culinaria""]",barra culinaria barra culinaria,
food,ce4581be-421d-5037-a7ba-84b35fd081e8,,Chocolate em pó,Chocolate Powder,,,"[""chocolate"",""powder""]",chocolate powder chocolate powder,
food,b44ad576-444d-5462-9ceb-93dfd0d5f361,,Chocolate negro (aproximadamente 50% cacau),Dark Chocolate (approximately 50% Cocoa),,,"[""chocolate"",""negro"",""50%"",""cacau"",""dark"",""approximately"",""50"",""cocoa""]",dark chocolate approximately 50 cocoa dark chocolate approximately 50 cocoa negro cacau,
food,9e206128-528f-57c4-abab-d20003bd984b,,"Chouriço de carne de porco, cru",Raw Pork Sausage,,,"[""chouriço"",""chourico"",""sausage"",""carne"",""meat"",""porco"",""pork"",""cru"",""raw""]",raw pork sausage raw pork sausage,
food,e9fe08eb-ee4a-5a54-bcd9-105b314cb084,,"Chouriço de carne de porco, gordo, cru",Raw Fatty Pork Sausage,,,"[""chouriço"",""chourico"",""sausage"",""carne"",""meat"",""porco"",""pork"",""gordo"",""fatty"",""cru"",""raw""]",raw fatty pork sausage raw fatty pork sausage,
food,acd19c55-1758-505a-9bbf-b7c59436da1f,,"Chouriço de carne de porco, magro, cozido sem adição de sal",Cooked Lean Pork Sausage without Added Salt,,,"[""chouriço"",""chourico"",""sausage"",""carne"",""meat"",""porco"",""pork"",""magro"",""lean"",""light"",""cozido"",""cooked"",""boiled"",""sal"",""salt"",""without"",""added""]",cooked lean pork sausage without added salt cooked lean pork sausage without added salt light,
food,83508d0a-9b37-5e25-b70c-8fa2066d08f0,,"Chouriço de carne de porco, magro, cru",Raw Lean Pork Sausage,,,"[""chouriço"",""chourico"",""sausage"",""carne"",""meat"",""porco"",""pork"",""magro"",""lean"",""light"",""cru"",""raw""]",raw lean pork sausage raw lean pork sausage light,
food,2463c809-9f11-5ee1-9d1f-ac46c9b85307,,"Chouriço de carne de porco, magro, grelhado sem adição de sal",Grilled Lean Pork Sausage without Added Salt,,,"[""chouriço"",""chourico"",""sausage"",""carne"",""meat"",""porco"",""pork"",""magro"",""lean"",""light"",""grelhado"",""grilled"",""sal"",""salt"",""without"",""added""]",grilled lean pork sausage without added salt grilled lean pork sausage without added salt light,
food,ae046b71-b78e-5742-85ba-58f21a4c374e,,Chouriço de sangue cozido sem adição de sal,Sangue Cooked without Added Salt,"Sangue, Cooked without Added Salt",,"[""chouriço"",""chourico"",""sausage"",""sangue"",""cozido"",""cooked"",""boiled"",""sal"",""salt"",""without"",""added""]",sangue cooked without added salt sangue cooked without added salt sausage,
food,350f4799-e204-52f0-acdd-f28a3360dadd,,"Chouriço de sangue, cru",Sangue Raw,"Sangue, Raw",,"[""chouriço"",""chourico"",""sausage"",""sangue"",""cru"",""raw""]",sangue raw sangue raw sausage,
food,0ba265c7-d384-5ed3-8bb8-32d9950057bd,,Chuchu,Chuchu,,,"[""chuchu""]",chuchu chuchu,
food,0447590d-12c6-5e48-b47e-fd3632f4b087,,Chucrute,Chucrute,,,"[""chucrute""]",chucrute chucrute,
food,ff9a17ce-fa0a-51f9-87fe-f43d924bf3cc,,Churro,Churro,,,"[""churro"",""fartura""]",churro churro,
food,4d397c1d-1614-5a2c-82c7-445d613cafc8,,Churro de Chocolate,Chocolate Churro,,,"[""churro"",""chocolate"",""fartura""]",chocolate churro chocolate churro,
food,b3e2b932-8014-5222-850a-f2cc4d33f25f,,"Chá, infusão, preto",Cha Infusao Black,Tea Infusion Black,,"[""chá"",""cha"",""tea"",""infusão"",""infusao"",""preto"",""black""]",cha infusao black cha infusao black tea,
food,38ea515d-ee4b-5198-a4a8-f8482055a34e,,"Chá, infusão, verde",Cha Infusao Verde,Tea Infusion Green,,"[""chá"",""cha"",""tea"",""infusão"",""infusao"",""verde""]",cha infusao verde cha infusao verde tea,
food,5b3a8910-083b-59f8-8618-848f7db4d005,,Clara de Ovo,Egg White,,,"[""ovos"",""clara"",""white"",""eggs"",""ovo"",""egg""]",egg white egg white clara eggs,
food,78a53e89-58d2-5728-a514-98fcd7999a13,,"Clara de ovo de galinha, crua",Raw Chicken Egg White,,,"[""clara"",""ovo"",""egg"",""galinha"",""crua"",""raw"",""chicken"",""white""]",raw chicken egg white raw chicken egg white clara galinha,
food,e76a7670-b8d6-568a-8aaa-1fb900982d71,,"Clara de ovo de galinha, pasteurizada",Pasteurized Chicken Egg White,,,"[""clara"",""ovo"",""egg"",""galinha"",""pasteurizada"",""pasteurized"",""chicken"",""white""]",pasteurized chicken egg white pasteurized chicken egg white clara galinha,
food,d3aa9cc9-81eb-5f2d-b8a3-b9941480147f,,Clementina,Clementina,Clementine,,"[""clementina""]",clementina clementina,
food,838aa285-4c36-5fa6-9174-1d4b33050ad7,,Coca-Cola Zero,Coca-cola Zero,,Coca-Cola,"[""coca"",""cola"",""zero"",""sem"",""açúcar"",""without"",""sugar""]",coca cola zero coca cola coca cola zero,
food,afb568e3-d44b-5413-80fe-812cba748310,,"Coco seco, ralado",Coco Dried Grated,"Coco Dried, Grated",,"[""coco"",""coconut"",""seco"",""dried"",""ralado"",""grated""]",coco dried grated coco dried grated coconut,
food,a33099a3-6210-58cc-b3c3-a89c44713f53,,"Codorniz carne sem pele, crua ",Quail Skinless Raw,"Quail Skinless, Raw",,"[""codorniz"",""carne"",""meat"",""pele"",""crua"",""raw"",""quail"",""skinless""]",quail skinless raw quail skinless raw codorniz pele,
food,046c966b-41b0-5055-9962-df41062f4629,,"Codorniz com pele, crua",Quail with Skin Raw,"Quail with Skin, Raw",,"[""codorniz"",""pele"",""crua"",""raw"",""quail"",""with"",""skin""]",quail with skin raw quail with skin raw codorniz pele,
food,a1993219-7b9d-5a69-85be-73eae971831a,,"Codorniz com pele, estufada com azeite",Quail with Skin Stewed Olive Oil,,,"[""codorniz"",""pele"",""estufada"",""stewed"",""azeite"",""olive"",""oil"",""quail"",""with"",""skin""]",quail with skin stewed olive oil quail with skin stewed olive oil codorniz pele estufada,
food,c8a69aa3-08fa-574e-bdb0-c4683a133767,,"Codorniz com pele, grelhada",Quail with Skin Grilled,"Quail with Skin, Grilled",,"[""codorniz"",""pele"",""grelhada"",""grilled"",""quail"",""with"",""skin""]",quail with skin grilled quail with skin grilled codorniz pele,
food,b45059ab-f306-5484-95f7-743504463f80,,Coelho cru,Rabbit Raw,"Rabbit, Raw",,"[""coelho"",""rabbit"",""cru"",""raw""]",rabbit raw rabbit raw coelho,
food,0f266a51-08c1-522c-aa0b-1b2b367a04fa,,Coelho em vinha de alhos,Rabbit Vinha,Rabbit Garlic Wine Marinade,,"[""coelho"",""rabbit"",""vinha"",""alhos"",""alho""]",rabbit vinha rabbit vinha coelho,
food,e4cd7f8f-6f87-5919-9757-7f7c5587a234,,Coelho estufado,Rabbit Stewed,"Rabbit, Stewed",,"[""coelho"",""rabbit"",""estufado"",""stewed""]",rabbit stewed rabbit stewed coelho estufado,
food,ac1499be-d262-5bba-b65a-69641d92775a,,Coelho estufado com azeite,Rabbit Stewed Olive Oil,,,"[""coelho"",""rabbit"",""estufado"",""stewed"",""azeite"",""olive"",""oil""]",rabbit stewed olive oil rabbit stewed olive oil coelho estufado,
food,87f855a2-7e7a-5b56-9e9b-2ce943563714,,Coelho estufado com margarina,Rabbit Stewed Margarine,,,"[""coelho"",""rabbit"",""estufado"",""stewed"",""margarina"",""margarine""]",rabbit stewed margarine rabbit stewed margarine coelho estufado margarina,
food,80463453-313f-5553-822e-84a4d863b0e6,,Coelho à caçador,Rabbit Cacador,,,"[""coelho"",""rabbit"",""caçador"",""cacador""]",rabbit cacador rabbit cacador coelho,
food,61add44f-414a-5b50-863b-03921b6cad68,,Coentros crus,Raw Coriander,,,"[""coentros"",""coentro"",""crus"",""raw"",""coriander""]",raw coriander raw coriander coentros coentro,
food,4c403707-e212-50a8-addf-1eb0ca5e0a08,,Cogumelo Marron,Mushroom Marron,,,"[""cogumelos"",""marron"",""mushrooms"",""cru"",""raw"",""cogumelo"",""mushroom""]",mushroom marron mushroom marron mushrooms,
food,1efd3555-b0f3-50b0-aa7a-4603e9dda7c2,,Cogumelo Portobello,Mushroom Portobello,,,"[""cogumelos"",""portobello"",""mushrooms"",""cru"",""raw"",""cogumelo"",""mushroom""]",mushroom portobello mushroom portobello mushrooms,
food,1157464c-7f2b-5eaf-9e0d-9553aefb8732,,Cogumelo Shitake,Mushroom Shitake,,,"[""cogumelos"",""shitake"",""shiitake"",""mushrooms"",""cogumelo"",""mushroom""]",mushroom shitake mushroom shitake shiitake mushrooms,
food,bda08faf-c7eb-5f00-8130-0dc4979037be,,Cogumelo Shitake (seco),Mushroom Shitake (dried),,,"[""cogumelos"",""shitake"",""shiitake"",""mushrooms"",""secos"",""dried"",""dry"",""cogumelo"",""mushroom"",""seco""]",mushroom shitake dried mushroom shitake dried shiitake mushrooms,
food,a8a0ea5d-b287-5919-afb8-525954938d60,,Cogumelos crus,Raw Mushrooms,,,"[""cogumelos"",""cogumelo"",""mushrooms"",""crus"",""raw""]",raw mushrooms raw mushrooms,
food,5671b647-c447-5387-a6fd-dd971ab1a39e,,"Cogumelos enlatados, escorridos",Mushrooms Enlatados Escorridos,"Mushrooms Canned, Drained",,"[""cogumelos"",""cogumelo"",""mushrooms"",""enlatados"",""enlatado"",""escorridos"",""escorrido""]",mushrooms enlatados escorridos mushrooms enlatados escorridos enlatado escorrido,
food,cc51a7dc-8cbc-5ed5-beb6-2e4fe9401d7f,,Cogumelos fritos com óleo alimentar,Mushrooms Fritos Cooking Oil,Mushrooms Fried Cooking Oil,,"[""cogumelos"",""cogumelo"",""mushrooms"",""fritos"",""frito"",""óleo"",""oleo"",""oil"",""alimentar"",""cooking""]",mushrooms fritos cooking oil mushrooms fritos cooking oil oleo alimentar,
food,a084af13-eb28-54dd-8242-79fb841ef376,,Colorau,Colorau,Paprika,,"[""colorau""]",colorau colorau,
food,61ab1add-c943-5f52-8b83-31d6280c4707,,Cominhos,Cominhos,Cumin,,"[""cominhos"",""cominho""]",cominhos cominhos cominho,
food,0a605212-a17d-5b76-ab4f-ac3bad69b430,,Cominhos em pó,Cominhos Po,Cumin Powder,,"[""cominhos"",""cumin"",""cominho"",""po""]",cominhos po cominhos po cumin cominho,
food,02cc794d-aeb2-5674-af7a-0e0bb98745c6,,Compota de ameixa,Plum Preserve,,,"[""compota"",""jam"",""ameixa"",""plum"",""preserve""]",plum preserve plum preserve compota jam,
food,36e1148e-9b78-5da1-91bc-5277bc6dd6fa,,Compota de ananás,Pineapple Preserve,,,"[""compota"",""jam"",""ananás"",""ananas"",""ananá"",""pineapple"",""preserve""]",pineapple preserve pineapple preserve compota jam,
food,f0655dc8-f0ca-5864-a890-cdde22a53744,,Compota de cereja,Cherry Preserve,,,"[""compota"",""jam"",""cereja"",""cherry"",""preserve""]",cherry preserve cherry preserve compota jam,
food,377e56f0-7f38-5966-8341-9de144a23e08,,Compota de damasco,Apricot Preserve,,,"[""compota"",""jam"",""damasco"",""apricot"",""preserve""]",apricot preserve apricot preserve compota jam,
food,a45f2b11-ce61-5665-b523-d3cf30208b2f,,Compota de laranja,Orange Preserve,,,"[""compota"",""jam"",""laranja"",""orange"",""preserve""]",orange preserve orange preserve compota jam,
food,b0507aa3-5767-5773-b523-a6b2e67878ff,,Conchiglie,Conchiglie,,,"[""pastas"",""massas"",""conchiglie"",""conchas"",""seca"",""dry""]",conchiglie conchiglie pastas massas conchas,
food,fbd5e706-ef8c-55b0-a483-120c4c78851a,,Conchiglie (cozido),Conchiglie (cooked),,,"[""pastas"",""massas"",""conchiglie"",""conchas"",""cozidos"",""cooked"",""cozido"",""boiled""]",conchiglie cooked conchiglie cooked pastas massas conchas,
food,0d8e2a0a-18b3-5ade-9a51-82c877546737,,Condimento de mostarda,Condimento Mostarda,Condiment Mustard,,"[""condimento"",""mostarda"",""mustard""]",condimento mostarda condimento mostarda mustard,
food,ed55ec77-367b-54c0-aee7-b13957061ab9,,Coração de galinha cru,Raw Chicken Heart,,,"[""coração"",""coracao"",""galinha"",""cru"",""raw"",""chicken"",""heart""]",raw chicken heart raw chicken heart coracao galinha,
food,37d11243-20a7-509a-ac32-6da877b18963,,"Coração de porco, cru",Raw Pork Heart,,,"[""coração"",""coracao"",""porco"",""pork"",""cru"",""raw"",""heart""]",raw pork heart raw pork heart coracao,
food,fb7509f8-7cb1-52e9-9e10-b6447b865f57,,"Coração de porco, estufado com banha e margarina",Stewed Pork Heart with Lard and Margarine,,,"[""coração"",""coracao"",""porco"",""pork"",""estufado"",""stewed"",""banha"",""margarina"",""margarine"",""heart"",""with"",""lard"",""and""]",stewed pork heart with lard and margarine stewed pork heart with lard and margarine coracao estufado banha margarina,
food,6ecd9a1c-77e7-5778-ab96-853a34903449,,"Coração de vaca, cozido",Cooked Beef Heart,,,"[""coração"",""coracao"",""vaca"",""beef"",""cozido"",""cooked"",""boiled"",""heart""]",cooked beef heart cooked beef heart coracao vaca,
food,6f2de68f-6af9-52c0-b01c-3cfafd67792a,,"Coração de vaca, cru",Raw Beef Heart,,,"[""coração"",""coracao"",""vaca"",""beef"",""cru"",""raw"",""heart""]",raw beef heart raw beef heart coracao vaca,
food,73c650f1-f080-5548-a75e-c17aa8d326fa,,"Coração de vaca, estufado com banha e margarina",Stewed Beef Heart with Lard and Margarine,,,"[""coração"",""coracao"",""vaca"",""beef"",""estufado"",""stewed"",""banha"",""margarina"",""margarine"",""heart"",""with"",""lard"",""and""]",stewed beef heart with lard and margarine stewed beef heart with lard and margarine coracao vaca estufado banha margarina,
food,120ec132-dba4-5e85-b6de-744edb199bba,,"Coração de vitela, cru",Raw Veal Heart,,,"[""coração"",""coracao"",""vitela"",""veal"",""cru"",""raw"",""heart""]",raw veal heart raw veal heart coracao vitela,
food,e71990c4-0b7b-5e3d-a794-2b1640590973,,Corvina cozida,Corvina Cooked,"Meagre, Cooked",,"[""corvina"",""croaker"",""fish"",""cozida"",""cooked"",""boiled""]",corvina cooked corvina cooked croaker,
food,28906791-a113-5459-ae61-8d9d0c67e751,,Corvina crua,Corvina Raw,"Meagre, Raw",,"[""corvina"",""croaker"",""fish"",""crua"",""raw""]",corvina raw corvina raw croaker,
food,ef4d8e9a-4a97-551c-a035-a36bc487d32c,,Costeleta de cabrito crua,Chop Kid Goat Raw,"Chop Kid Goat, Raw",,"[""costeleta"",""cabrito"",""crua"",""raw"",""chop"",""kid"",""goat""]",chop kid goat raw chop kid goat raw costeleta cabrito,
food,bb0ad4e2-a1ec-5411-9f1a-26a49df6e683,,Costeleta de cabrito grelhada,Chop Kid Goat Grilled,"Chop Kid Goat, Grilled",,"[""costeleta"",""cabrito"",""grelhada"",""grilled"",""chop"",""kid"",""goat""]",chop kid goat grilled chop kid goat grilled costeleta cabrito,
food,5b62ac94-88b4-56b5-b3e7-effa54674513,,"Costeleta de carneiro, crua",Chop Mutton Raw,"Chop Mutton, Raw",,"[""costeleta"",""carneiro"",""mutton"",""lamb"",""crua"",""raw"",""chop""]",chop mutton raw chop mutton raw costeleta carneiro lamb,
food,aced6c1e-d235-5f43-9e45-eb1bd7facd23,,Costeleta de porco gorda crua,Chop Pork Fat Raw,"Chop Pork Fat, Raw",,"[""costeleta"",""porco"",""pork"",""gorda"",""fatty"",""crua"",""raw"",""chop"",""fat""]",chop pork fat raw chop pork fat raw costeleta gorda fatty,
food,c9e8f6fd-237d-5018-996e-0d62b59b19ea,,Costeleta de porco gorda grelhada,Chop Pork Fat Grilled,"Chop Pork Fat, Grilled",,"[""costeleta"",""porco"",""pork"",""gorda"",""fatty"",""grelhada"",""grilled"",""chop"",""fat""]",chop pork fat grilled chop pork fat grilled costeleta gorda fatty,
food,7b63585f-c416-51b8-a422-f2e922a65008,,Costeleta de porco grelhada,Chop Pork Grilled,"Chop Pork, Grilled",,"[""costeleta"",""porco"",""pork"",""grelhada"",""grilled"",""chop""]",chop pork grilled chop pork grilled costeleta,
food,90cf7d09-446e-5d66-8c70-5281d187930a,,Costeleta de porco meio gorda crua,Chop Pork Semi-fat Raw,"Chop Pork Semi-fat, Raw",,"[""costeleta"",""porco"",""pork"",""meio"",""gorda"",""fatty"",""crua"",""raw"",""chop"",""semi"",""fat""]",chop pork semi fat raw chop pork semi fat raw costeleta gorda fatty,
food,1fbb8212-191b-5280-be16-7c30e1f2c119,,Costeleta de porco meio gorda estufada,Chop Pork Semi-fat Stewed,"Chop Pork Semi-fat, Stewed",,"[""costeleta"",""porco"",""pork"",""meio"",""gorda"",""fatty"",""estufada"",""stewed"",""chop"",""semi"",""fat""]",chop pork semi fat stewed chop pork semi fat stewed costeleta gorda fatty estufada,
